"New Flake ID","Bending","Hertzian","Wedging","Sum","N Analysts","variable"
"1",0,100,0,100,11,"initiation"
"2",0,100,0,100,11,"initiation"
"3",0,100,0,100,11,"initiation"
"4",0,100,0,100,11,"initiation"
"5",0,90,10,100,10,"initiation"
"6",0,100,0,100,11,"initiation"
"7",0,100,0,100,11,"initiation"
"8",0,100,0,100,11,"initiation"
"9",0,91,9,100,11,"initiation"
"10",0,100,0,100,6,"initiation"
"11",0,100,0,100,11,"initiation"
"12",0,100,0,100,11,"initiation"
"13",0,100,0,100,11,"initiation"
"14",0,100,0,100,11,"initiation"
"15",0,100,0,100,11,"initiation"
"16",0,100,0,100,11,"initiation"
"17",0,100,0,100,10,"initiation"
"18",0,100,0,100,9,"initiation"
"19",0,100,0,100,11,"initiation"
"20",0,100,0,100,11,"initiation"
"21",0,80,20,100,10,"initiation"
"22",0,100,0,100,11,"initiation"
"23",0,100,0,100,11,"initiation"
"24",0,100,0,100,11,"initiation"
"25",0,100,0,100,11,"initiation"
"26",0,100,0,100,11,"initiation"
"27",10,70,20,100,10,"initiation"
"28",0,100,0,100,10,"initiation"
"29",0,100,0,100,11,"initiation"
"30",0,100,0,100,11,"initiation"
"31",0,100,0,100,11,"initiation"
"32",0,100,0,100,11,"initiation"
"33",0,100,0,100,11,"initiation"
"34",0,100,0,100,11,"initiation"
"35",0,100,0,100,11,"initiation"
"36",9,82,9,100,11,"initiation"
"37",0,100,0,100,11,"initiation"
"38",0,100,0,100,11,"initiation"
"39",0,100,0,100,11,"initiation"
"40",9,91,0,100,11,"initiation"
"41",0,100,0,100,11,"initiation"
"42",0,73,27,100,11,"initiation"
"43",0,100,0,100,11,"initiation"
"44",9,91,0,100,11,"initiation"
"45",0,100,0,100,11,"initiation"
"46",0,100,0,100,11,"initiation"
"47",11,78,11,100,9,"initiation"
"48",0,100,0,100,6,"initiation"
"49",0,100,0,100,11,"initiation"
"50",0,100,0,100,6,"initiation"
"51",0,100,0,100,11,"initiation"
"52",0,88,12,100,8,"initiation"
"53",0,100,0,100,11,"initiation"
"54",0,100,0,100,11,"initiation"
"55",0,100,0,100,10,"initiation"
"56",0,100,0,100,11,"initiation"
"57",0,100,0,100,11,"initiation"
"58",0,100,0,100,11,"initiation"
"59",0,100,0,100,11,"initiation"
"60",0,100,0,100,11,"initiation"
"61",0,100,0,100,10,"initiation"
"62",0,100,0,100,11,"initiation"
"63",0,100,0,100,10,"initiation"
"64",0,100,0,100,11,"initiation"
"65",0,100,0,100,11,"initiation"
"66",0,100,0,100,11,"initiation"
"67",0,91,9,100,11,"initiation"
"68",0,100,0,100,11,"initiation"
"69",0,100,0,100,11,"initiation"
"70",0,100,0,100,11,"initiation"
"71",0,100,0,100,11,"initiation"
"72",0,100,0,100,11,"initiation"
"73",0,100,0,100,11,"initiation"
"74",0,100,0,100,11,"initiation"
"75",0,100,0,100,11,"initiation"
"76",0,100,0,100,11,"initiation"
"77",0,100,0,100,11,"initiation"
"78",0,100,0,100,11,"initiation"
"79",0,100,0,100,11,"initiation"
"80",18,82,0,100,11,"initiation"
"81",0,100,0,100,6,"initiation"
"82",0,100,0,100,11,"initiation"
"83",0,100,0,100,11,"initiation"
"84",0,100,0,100,11,"initiation"
"85",18,73,9,100,11,"initiation"
"86",0,100,0,100,11,"initiation"
"87",0,100,0,100,7,"initiation"
"88",0,100,0,100,6,"initiation"
"90",0,100,0,100,11,"initiation"
"91",0,100,0,100,11,"initiation"
"92",20,80,0,100,10,"initiation"
"93",9,91,0,100,11,"initiation"
"94",0,100,0,100,5,"initiation"
"95",0,100,0,100,6,"initiation"
"96",0,100,0,100,11,"initiation"
"98",0,88,12,100,8,"initiation"
"99",0,100,0,100,5,"initiation"
