"New Flake ID","Indeterminate","No","Yes","Sum","Sum.1","N Analysts","variable"
"1",0,50,0,50,100,11,"kombewa"
"2",5,45,0,50,100,11,"kombewa"
"3",0,50,0,50,100,11,"kombewa"
"4",0,50,0,50,100,11,"kombewa"
"5",0,50,0,50,100,11,"kombewa"
"6",0,50,0,50,100,11,"kombewa"
"7",0,50,0,50,100,11,"kombewa"
"8",5,45,0,50,100,11,"kombewa"
"9",0,32,18,50,100,11,"kombewa"
"10",9,41,0,50,100,11,"kombewa"
"11",0,50,0,50,100,11,"kombewa"
"12",0,50,0,50,100,11,"kombewa"
"13",0,50,0,50,100,11,"kombewa"
"14",0,50,0,50,100,11,"kombewa"
"15",0,50,0,50,100,11,"kombewa"
"16",0,50,0,50,100,11,"kombewa"
"17",5,45,0,50,100,11,"kombewa"
"18",0,50,0,50,100,11,"kombewa"
"19",0,50,0,50,100,11,"kombewa"
"20",0,50,0,50,100,11,"kombewa"
"21",0,50,0,50,100,11,"kombewa"
"22",0,50,0,50,100,11,"kombewa"
"23",0,50,0,50,100,11,"kombewa"
"24",0,50,0,50,100,11,"kombewa"
"25",0,50,0,50,100,11,"kombewa"
"26",0,50,0,50,100,11,"kombewa"
"27",0,50,0,50,100,11,"kombewa"
"28",0,50,0,50,100,10,"kombewa"
"29",0,50,0,50,100,11,"kombewa"
"30",0,50,0,50,100,11,"kombewa"
"31",5,45,0,50,100,11,"kombewa"
"32",0,50,0,50,100,11,"kombewa"
"33",0,50,0,50,100,11,"kombewa"
"34",0,50,0,50,100,11,"kombewa"
"35",0,50,0,50,100,11,"kombewa"
"36",0,50,0,50,100,11,"kombewa"
"37",0,50,0,50,100,11,"kombewa"
"38",0,50,0,50,100,11,"kombewa"
"39",0,50,0,50,100,11,"kombewa"
"40",0,50,0,50,100,11,"kombewa"
"41",0,50,0,50,100,11,"kombewa"
"42",9,41,0,50,100,11,"kombewa"
"43",0,50,0,50,100,11,"kombewa"
"44",0,50,0,50,100,11,"kombewa"
"45",0,50,0,50,100,11,"kombewa"
"46",0,50,0,50,100,11,"kombewa"
"47",5,41,5,50,101,11,"kombewa"
"48",9,41,0,50,100,11,"kombewa"
"49",0,50,0,50,100,11,"kombewa"
"50",9,41,0,50,100,11,"kombewa"
"51",0,50,0,50,100,11,"kombewa"
"52",27,18,5,50,100,11,"kombewa"
"53",5,45,0,50,100,11,"kombewa"
"54",0,50,0,50,100,11,"kombewa"
"55",5,45,0,50,100,11,"kombewa"
"56",0,32,18,50,100,11,"kombewa"
"57",0,50,0,50,100,11,"kombewa"
"58",0,50,0,50,100,11,"kombewa"
"59",5,45,0,50,100,11,"kombewa"
"60",0,50,0,50,100,11,"kombewa"
"61",0,50,0,50,100,11,"kombewa"
"62",0,50,0,50,100,11,"kombewa"
"63",0,50,0,50,100,10,"kombewa"
"64",0,50,0,50,100,11,"kombewa"
"65",0,50,0,50,100,11,"kombewa"
"66",0,50,0,50,100,11,"kombewa"
"67",0,50,0,50,100,11,"kombewa"
"68",0,50,0,50,100,11,"kombewa"
"69",5,45,0,50,100,11,"kombewa"
"70",0,50,0,50,100,11,"kombewa"
"71",0,50,0,50,100,11,"kombewa"
"72",0,50,0,50,100,11,"kombewa"
"73",0,50,0,50,100,11,"kombewa"
"74",0,50,0,50,100,11,"kombewa"
"75",0,50,0,50,100,11,"kombewa"
"76",0,50,0,50,100,11,"kombewa"
"77",0,50,0,50,100,11,"kombewa"
"78",0,50,0,50,100,11,"kombewa"
"79",0,50,0,50,100,11,"kombewa"
"80",0,50,0,50,100,11,"kombewa"
"81",5,45,0,50,100,11,"kombewa"
"82",5,45,0,50,100,11,"kombewa"
"83",0,50,0,50,100,11,"kombewa"
"84",0,50,0,50,100,11,"kombewa"
"85",0,45,5,50,100,11,"kombewa"
"86",0,50,0,50,100,11,"kombewa"
"87",0,50,0,50,100,11,"kombewa"
"88",18,32,0,50,100,11,"kombewa"
"90",0,50,0,50,100,11,"kombewa"
"91",0,50,0,50,100,11,"kombewa"
"92",0,50,0,50,100,11,"kombewa"
"93",0,50,0,50,100,11,"kombewa"
"94",36,14,0,50,100,11,"kombewa"
"95",18,32,0,50,100,11,"kombewa"
"96",0,50,0,50,100,11,"kombewa"
"98",23,23,5,50,101,11,"kombewa"
"99",40,10,0,50,100,10,"kombewa"
