"New Flake ID","Amorphous","Convergent","Diamond","Divergent","Ovoid","Parallel","Square","Sum","N Analysts","variable"
"1",10,10,0,10,60,10,0,100,10,"lateral edge type"
"2",25,50,25,0,0,0,0,100,8,"lateral edge type"
"3",45,0,9,45,0,0,0,99,11,"lateral edge type"
"4",0,9,0,0,82,9,0,100,11,"lateral edge type"
"5",36,0,0,45,18,0,0,99,11,"lateral edge type"
"6",36,55,0,0,0,9,0,100,11,"lateral edge type"
"7",55,0,18,18,0,9,0,100,11,"lateral edge type"
"8",27,9,18,9,0,36,0,99,11,"lateral edge type"
"9",36,45,9,0,9,0,0,99,11,"lateral edge type"
"10",0,0,0,0,0,100,0,100,2,"lateral edge type"
"11",9,0,0,0,18,73,0,100,11,"lateral edge type"
"12",9,0,0,91,0,0,0,100,11,"lateral edge type"
"13",0,9,0,0,82,9,0,100,11,"lateral edge type"
"14",10,20,0,0,30,40,0,100,10,"lateral edge type"
"15",18,0,18,0,18,45,0,99,11,"lateral edge type"
"16",0,0,0,36,0,64,0,100,11,"lateral edge type"
"17",0,0,0,0,40,50,10,100,10,"lateral edge type"
"18",0,0,0,10,80,10,0,100,10,"lateral edge type"
"19",18,9,0,0,9,64,0,100,11,"lateral edge type"
"20",64,9,0,9,9,9,0,100,11,"lateral edge type"
"21",10,0,0,90,0,0,0,100,10,"lateral edge type"
"22",0,0,0,9,55,27,9,100,11,"lateral edge type"
"23",0,36,0,0,27,36,0,99,11,"lateral edge type"
"24",100,0,0,0,0,0,0,100,2,"lateral edge type"
"25",9,55,36,0,0,0,0,100,11,"lateral edge type"
"26",10,0,0,90,0,0,0,100,10,"lateral edge type"
"27",20,30,0,30,0,20,0,100,10,"lateral edge type"
"28",0,0,0,60,0,40,0,100,10,"lateral edge type"
"29",27,0,0,0,18,55,0,100,11,"lateral edge type"
"30",0,0,0,0,0,100,0,100,11,"lateral edge type"
"31",18,82,0,0,0,0,0,100,11,"lateral edge type"
"32",0,0,0,9,0,91,0,100,11,"lateral edge type"
"33",0,100,0,0,0,0,0,100,11,"lateral edge type"
"34",9,0,0,0,0,91,0,100,11,"lateral edge type"
"35",0,18,0,0,0,82,0,100,11,"lateral edge type"
"36",36,0,0,0,9,55,0,100,11,"lateral edge type"
"37",0,73,27,0,0,0,0,100,11,"lateral edge type"
"38",27,0,0,9,18,36,9,99,11,"lateral edge type"
"39",0,0,0,9,0,82,9,100,11,"lateral edge type"
"40",0,100,0,0,0,0,0,100,11,"lateral edge type"
"41",36,0,9,9,0,45,0,99,11,"lateral edge type"
"42",0,0,0,12,0,75,12,99,8,"lateral edge type"
"43",40,30,0,0,0,20,10,100,10,"lateral edge type"
"44",0,73,0,0,0,27,0,100,11,"lateral edge type"
"45",0,0,0,0,0,91,9,100,11,"lateral edge type"
"46",0,0,0,18,0,82,0,100,11,"lateral edge type"
"47",50,0,0,50,0,0,0,100,2,"lateral edge type"
"48",0,100,0,0,0,0,0,100,4,"lateral edge type"
"49",0,9,0,0,0,91,0,100,11,"lateral edge type"
"50",0,0,0,0,0,100,0,100,8,"lateral edge type"
"51",27,18,55,0,0,0,0,100,11,"lateral edge type"
"52",0,0,0,0,0,100,0,100,4,"lateral edge type"
"53",22,11,0,0,11,56,0,100,9,"lateral edge type"
"54",9,0,0,0,9,82,0,100,11,"lateral edge type"
"55",14,0,14,29,0,43,0,100,7,"lateral edge type"
"56",27,0,0,18,55,0,0,100,11,"lateral edge type"
"57",9,9,0,0,9,64,9,100,11,"lateral edge type"
"58",27,0,9,45,0,18,0,99,11,"lateral edge type"
"59",18,0,82,0,0,0,0,100,11,"lateral edge type"
"60",0,0,0,91,0,9,0,100,11,"lateral edge type"
"61",0,0,0,0,90,10,0,100,10,"lateral edge type"
"62",36,0,9,9,36,0,9,99,11,"lateral edge type"
"63",40,0,20,10,0,20,10,100,10,"lateral edge type"
"64",55,0,36,9,0,0,0,100,11,"lateral edge type"
"65",0,0,0,100,0,0,0,100,11,"lateral edge type"
"66",0,0,0,100,0,0,0,100,11,"lateral edge type"
"67",18,82,0,0,0,0,0,100,11,"lateral edge type"
"68",9,0,0,0,0,91,0,100,11,"lateral edge type"
"69",10,0,0,70,0,20,0,100,10,"lateral edge type"
"70",18,27,55,0,0,0,0,100,11,"lateral edge type"
"71",73,0,0,18,9,0,0,100,11,"lateral edge type"
"72",9,0,0,9,0,64,18,100,11,"lateral edge type"
"73",40,20,0,0,10,30,0,100,10,"lateral edge type"
"74",45,0,0,0,18,27,9,99,11,"lateral edge type"
"75",0,27,18,0,55,0,0,100,11,"lateral edge type"
"76",27,0,9,18,9,36,0,99,11,"lateral edge type"
"77",18,0,73,0,0,9,0,100,11,"lateral edge type"
"78",9,0,0,55,18,9,9,100,11,"lateral edge type"
"79",45,0,18,0,0,9,27,99,11,"lateral edge type"
"80",0,0,27,64,0,9,0,100,11,"lateral edge type"
"81",33,67,0,0,0,0,0,100,6,"lateral edge type"
"82",0,9,0,0,36,55,0,100,11,"lateral edge type"
"83",45,0,9,9,36,0,0,99,11,"lateral edge type"
"84",27,27,0,45,0,0,0,99,11,"lateral edge type"
"85",0,0,0,30,0,70,0,100,10,"lateral edge type"
"86",0,0,0,64,0,36,0,100,11,"lateral edge type"
"87",50,0,0,0,50,0,0,100,4,"lateral edge type"
"88",0,0,0,0,0,100,0,100,4,"lateral edge type"
