"New Flake ID","yes","no","Sum","N Analysts","variable"
"1",18,82,100,11,"platform lipping"
"2",0,100,100,11,"platform lipping"
"3",10,90,100,10,"platform lipping"
"4",27,73,100,11,"platform lipping"
"5",0,100,100,2,"platform lipping"
"6",9,91,100,11,"platform lipping"
"7",0,100,100,11,"platform lipping"
"8",9,91,100,11,"platform lipping"
"9",0,100,100,11,"platform lipping"
"10",0,100,100,1,"platform lipping"
"11",0,100,100,11,"platform lipping"
"12",0,100,100,11,"platform lipping"
"13",0,100,100,11,"platform lipping"
"14",9,91,100,11,"platform lipping"
"15",9,91,100,11,"platform lipping"
"16",0,100,100,11,"platform lipping"
"17",11,89,100,9,"platform lipping"
"18",14,86,100,7,"platform lipping"
"19",18,82,100,11,"platform lipping"
"20",18,82,100,11,"platform lipping"
"21",22,78,100,9,"platform lipping"
"22",0,100,100,10,"platform lipping"
"23",9,91,100,11,"platform lipping"
"24",0,100,100,11,"platform lipping"
"25",0,100,100,10,"platform lipping"
"26",18,82,100,11,"platform lipping"
"27",0,100,100,5,"platform lipping"
"28",0,100,100,10,"platform lipping"
"29",9,91,100,11,"platform lipping"
"30",36,64,100,11,"platform lipping"
"31",9,91,100,11,"platform lipping"
"32",0,100,100,10,"platform lipping"
"33",9,91,100,11,"platform lipping"
"34",0,100,100,9,"platform lipping"
"35",0,100,100,11,"platform lipping"
"36",29,71,100,7,"platform lipping"
"37",0,100,100,11,"platform lipping"
"38",0,100,100,11,"platform lipping"
"39",0,100,100,11,"platform lipping"
"40",0,100,100,11,"platform lipping"
"41",27,73,100,11,"platform lipping"
"42",0,100,100,10,"platform lipping"
"43",0,100,100,11,"platform lipping"
"44",36,64,100,11,"platform lipping"
"45",0,100,100,10,"platform lipping"
"46",0,100,100,11,"platform lipping"
"47",20,80,100,5,"platform lipping"
"48",NA,NA,NA,0,"platform lipping"
"49",0,100,100,11,"platform lipping"
"50",NA,NA,NA,0,"platform lipping"
"51",33,67,100,9,"platform lipping"
"52",25,75,100,4,"platform lipping"
"53",9,91,100,11,"platform lipping"
"54",27,73,100,11,"platform lipping"
"55",0,100,100,8,"platform lipping"
"56",18,82,100,11,"platform lipping"
"57",10,90,100,10,"platform lipping"
"58",9,91,100,11,"platform lipping"
"59",18,82,100,11,"platform lipping"
"60",10,90,100,10,"platform lipping"
"61",0,100,100,10,"platform lipping"
"62",0,100,100,11,"platform lipping"
"63",0,100,100,8,"platform lipping"
"64",10,90,100,10,"platform lipping"
"65",0,100,100,10,"platform lipping"
"66",0,100,100,11,"platform lipping"
"67",0,100,100,10,"platform lipping"
"68",18,82,100,11,"platform lipping"
"69",22,78,100,9,"platform lipping"
"70",20,80,100,10,"platform lipping"
"71",10,90,100,10,"platform lipping"
"72",9,91,100,11,"platform lipping"
"73",9,91,100,11,"platform lipping"
"74",0,100,100,11,"platform lipping"
"75",9,91,100,11,"platform lipping"
"76",9,91,100,11,"platform lipping"
"77",0,100,100,11,"platform lipping"
"78",0,100,100,11,"platform lipping"
"79",30,70,100,10,"platform lipping"
"80",0,100,100,5,"platform lipping"
"81",NA,NA,NA,0,"platform lipping"
"82",18,82,100,11,"platform lipping"
"83",0,100,100,10,"platform lipping"
"84",0,100,100,11,"platform lipping"
"85",0,100,100,4,"platform lipping"
"86",9,91,100,11,"platform lipping"
"87",NA,NA,NA,0,"platform lipping"
"88",0,100,100,1,"platform lipping"
"90",0,100,100,11,"platform lipping"
"91",9,91,100,11,"platform lipping"
"92",0,100,100,4,"platform lipping"
"93",9,91,100,11,"platform lipping"
"94",NA,NA,NA,0,"platform lipping"
"95",NA,NA,NA,0,"platform lipping"
"96",10,90,100,10,"platform lipping"
"98",0,100,100,2,"platform lipping"
"99",NA,NA,NA,0,"platform lipping"
