"New Flake ID","complete","distal","Indeterminate","left","medial","proximal","right","Sum","N Analysts","variable"
"1",100,0,0,0,0,0,0,100,11,"completeness"
"2",9,0,0,0,0,91,0,100,11,"completeness"
"3",100,0,0,0,0,0,0,100,11,"completeness"
"4",91,0,0,0,0,9,0,100,11,"completeness"
"5",64,18,9,9,0,0,0,100,11,"completeness"
"6",100,0,0,0,0,0,0,100,11,"completeness"
"7",100,0,0,0,0,0,0,100,11,"completeness"
"8",82,0,0,0,9,9,0,100,11,"completeness"
"9",100,0,0,0,0,0,0,100,11,"completeness"
"10",0,64,18,0,9,9,0,100,11,"completeness"
"11",100,0,0,0,0,0,0,100,11,"completeness"
"12",100,0,0,0,0,0,0,100,11,"completeness"
"13",100,0,0,0,0,0,0,100,11,"completeness"
"14",100,0,0,0,0,0,0,100,11,"completeness"
"15",100,0,0,0,0,0,0,100,11,"completeness"
"16",100,0,0,0,0,0,0,100,11,"completeness"
"17",91,0,9,0,0,0,0,100,11,"completeness"
"18",64,27,0,0,9,0,0,100,11,"completeness"
"19",100,0,0,0,0,0,0,100,11,"completeness"
"20",100,0,0,0,0,0,0,100,11,"completeness"
"21",91,0,0,0,9,0,0,100,11,"completeness"
"22",91,0,0,0,0,9,0,100,11,"completeness"
"23",91,0,0,0,0,9,0,100,11,"completeness"
"24",9,0,0,0,0,91,0,100,11,"completeness"
"25",100,0,0,0,0,0,0,100,11,"completeness"
"26",64,0,0,0,0,36,0,100,11,"completeness"
"27",45,27,27,0,0,0,0,99,11,"completeness"
"28",90,0,0,0,0,10,0,100,10,"completeness"
"29",73,0,0,0,0,27,0,100,11,"completeness"
"30",91,0,0,0,0,9,0,100,11,"completeness"
"31",73,0,0,0,0,27,0,100,11,"completeness"
"32",91,0,0,0,0,9,0,100,11,"completeness"
"33",100,0,0,0,0,0,0,100,11,"completeness"
"34",82,18,0,0,0,0,0,100,11,"completeness"
"35",100,0,0,0,0,0,0,100,11,"completeness"
"36",100,0,0,0,0,0,0,100,11,"completeness"
"37",100,0,0,0,0,0,0,100,11,"completeness"
"38",100,0,0,0,0,0,0,100,11,"completeness"
"39",100,0,0,0,0,0,0,100,11,"completeness"
"40",100,0,0,0,0,0,0,100,11,"completeness"
"41",100,0,0,0,0,0,0,100,11,"completeness"
"42",18,0,0,0,0,82,0,100,11,"completeness"
"43",100,0,0,0,0,0,0,100,11,"completeness"
"44",91,0,0,0,0,9,0,100,11,"completeness"
"45",73,0,0,0,0,27,0,100,11,"completeness"
"46",100,0,0,0,0,0,0,100,11,"completeness"
"47",0,0,36,36,9,9,9,99,11,"completeness"
"48",0,100,0,0,0,0,0,100,11,"completeness"
"49",91,0,0,0,0,9,0,100,11,"completeness"
"50",0,0,9,0,91,0,0,100,11,"completeness"
"51",100,0,0,0,0,0,0,100,11,"completeness"
"52",36,0,18,27,0,9,9,99,11,"completeness"
"53",82,0,0,18,0,0,0,100,11,"completeness"
"54",100,0,0,0,0,0,0,100,11,"completeness"
"55",55,0,36,0,0,9,0,100,11,"completeness"
"56",100,0,0,0,0,0,0,100,11,"completeness"
"57",100,0,0,0,0,0,0,100,11,"completeness"
"58",91,0,0,0,0,9,0,100,11,"completeness"
"59",100,0,0,0,0,0,0,100,11,"completeness"
"60",91,0,0,9,0,0,0,100,11,"completeness"
"61",91,0,0,0,0,9,0,100,11,"completeness"
"62",100,0,0,0,0,0,0,100,11,"completeness"
"63",100,0,0,0,0,0,0,100,10,"completeness"
"64",100,0,0,0,0,0,0,100,11,"completeness"
"65",100,0,0,0,0,0,0,100,11,"completeness"
"66",100,0,0,0,0,0,0,100,11,"completeness"
"67",100,0,0,0,0,0,0,100,11,"completeness"
"68",100,0,0,0,0,0,0,100,11,"completeness"
"69",73,0,0,0,0,27,0,100,11,"completeness"
"70",100,0,0,0,0,0,0,100,11,"completeness"
"71",100,0,0,0,0,0,0,100,11,"completeness"
"72",100,0,0,0,0,0,0,100,11,"completeness"
"73",100,0,0,0,0,0,0,100,11,"completeness"
"74",100,0,0,0,0,0,0,100,11,"completeness"
"75",100,0,0,0,0,0,0,100,11,"completeness"
"76",73,0,0,0,0,27,0,100,11,"completeness"
"77",100,0,0,0,0,0,0,100,11,"completeness"
"78",100,0,0,0,0,0,0,100,11,"completeness"
"79",100,0,0,0,0,0,0,100,11,"completeness"
"80",100,0,0,0,0,0,0,100,11,"completeness"
"81",0,91,0,0,9,0,0,100,11,"completeness"
"82",100,0,0,0,0,0,0,100,11,"completeness"
"83",100,0,0,0,0,0,0,100,11,"completeness"
"84",100,0,0,0,0,0,0,100,11,"completeness"
"85",73,18,9,0,0,0,0,100,11,"completeness"
"86",100,0,0,0,0,0,0,100,11,"completeness"
"87",0,64,0,0,27,9,0,100,11,"completeness"
"88",0,0,18,0,73,9,0,100,11,"completeness"
"90",100,0,0,0,0,0,0,100,11,"completeness"
"91",100,0,0,0,0,0,0,100,11,"completeness"
"92",64,18,9,0,9,0,0,100,11,"completeness"
"93",91,0,0,0,0,9,0,100,11,"completeness"
"94",0,0,91,0,9,0,0,100,11,"completeness"
"95",0,18,36,0,36,0,9,99,11,"completeness"
"96",100,0,0,0,0,0,0,100,11,"completeness"
"98",18,9,55,9,0,0,9,100,11,"completeness"
"99",10,0,80,10,0,0,0,100,10,"completeness"
