"","var_names","coeff.val","lower","upper"
"1","initiation",0.95,0.92,0.97
"2","platform cortex",0.94,0.91,0.98
"3","reduction system",0.92,0.79,1
"4","Kombewa",0.92,0.88,0.95
"5","bulb",0.89,0.84,0.94
"6","completeness",0.82,0.77,0.88
"7","platform lipping",0.82,0.77,0.87
"8","flake form",0.77,0.71,0.83
"9","flake termination",0.75,0.69,0.8
"10","shattered bulb",0.59,0.52,0.66
"11","platform morphology",0.57,0.5,0.64
"12","cross section shape",0.51,0.45,0.58
"13","lateral edge shape",0.43,0.36,0.49
"14","distal plan form",0.4,0.33,0.48
"15","ventral plan form",0.28,0.24,0.32
"16","scar directionality",0.21,0.17,0.26
