assemblage_code,analyst_id,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_A,r42o8,60,complete,yes,minor,0,,,Absent,8,Centripetal,1,0,0,0,64.3,85.51,67.23,15.82,78.45,54.51,16.03,49.86,46.82,51.84,15.5,14.41,10.69,32.8,6.83,7.81,9.28,3.44,97.06458917,Facetted,No,Yes,No,Hertzian,Concave,6,Triangular,Amorphous,Feather,Pointed,0-30,No,levallois,levallois,Flake,
chert_condition_A,r42o8,38,complete,no,,0,,,Absent,3,UnidirectionalConvergent,1,0,0,1,14.3,48.69,43.14,14.61,38.46,48.69,8.01,32.43,37.98,46.5,15.36,9.57,9.57,10.66,9.84,9.41,11.53,3.02,89.62181141,Plain,No,Yes,No,Hertzian,Concave,3,Triangular,Divergent,Feather,Rounded,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,106,complete,no,,0,,,Absent,5,Other,0,0,0,0,10.6,48.21,41.23,9.17,44.45,33.12,5.01,34.44,33.23,36.7,8.03,5.06,4.28,16.6,4.97,4.17,5.3,2.1,69.27261636,Plain,No,Yes,No,Hertzian,Flat,1,Lenticular,Parallel,Feather,Rounded,0-30,No,indeterminate,indeterminate,Flake,
chert_condition_A,r42o8,36,other,no,,90,Other,most of the dorsal,Absent,4,Unidirectional,0,0,0,0,4.1,39.34,25.56,8.89,26.17,38.04,5.1,12.98,27.72,29.46,9.65,6.37,5.53,,,,,,0,,No,Indeterminate,No,Wedging,Flat,1,Indeterminate,Divergent,Feather,Flat,30-60,No,indeterminate,indeterminate,Flake,platform seems to be missing
chert_condition_A,r42o8,89,complete,yes,lateral,0,,,Absent,4,Indeterminate,0,0,0,0,11.4,68.07,30.84,5.78,64.96,30.15,6.27,24.16,26.8,29.65,5.91,6.46,4.05,19.03,5.35,5.29,5.43,3.81,102.8272486,Facetted,No,Yes,No,Hertzian,Concave,3,Triangular,Parallel,Feather,Pointed,0-30,No,indeterminate,other,Elong,
chert_condition_A,r42o8,59,complete,no,,1,Distal,,Absent,10,Bidirectional,2,0,0,0,7.4,58.52,24.36,7.53,48.7,24.13,5.76,22.86,20.12,16.09,7.66,4.75,3.38,10.71,7.55,7.11,7.8,2.45,77.73214434,Plain,Yes,Yes,No,Hertzian,Flat,1,Domed,Convergent,Indeterminate,Flat,60-90,No,indeterminate,laminar,Convflake,
chert_condition_A,r42o8,31,complete,no,,15,Distal,,Absent,5,Unidirectional,2,0,0,0,20,74.73,36.92,10.71,71.75,37.34,11.13,24.76,30.52,36.66,6.65,8.35,7.14,17.83,4.83,3.27,4.85,2.04,67.72738114,Plain,No,Yes,No,Hertzian,Twisted,6,Triangular,Parallel,Feather,Rounded,0-30,No,indeterminate,other,Flake,
chert_condition_A,r42o8,23,complete,no,,60,Other,right and distal,Absent,8,Unidirectional,2,0,0,0,27.3,61.79,53.08,10.33,58.52,46.91,10.5,37.38,47.07,43.2,9.95,9.36,7.13,10.18,5.11,4.36,5.38,5.14,118.7964906,Plain,No,Yes,Yes,Hertzian,Concave,5,Lenticular,Ovoid,Feather,Rounded,0-30,No,indeterminate,indeterminate,Flake,multiple small flake scars larger than 5mm
chert_condition_A,r42o8,95,left,no,,0,,,Absent,3,Indeterminate,0,0,0,0,3.8,35.65,26.78,4.86,,,,,,,,,,,,,,,0,,No,Indeterminate,No,Hertzian,Flat,1,,,,,,Yes,indeterminate,other,Flake,split flake
chert_condition_A,r42o8,51,complete,yes,distal,0,,,Absent,9,UnidirectionalConvergent,1,0,0,0,90.3,90.19,70.59,17.62,80.47,49.12,17.55,60.64,45.82,41.48,17.41,17.48,9.32,57.67,10.21,10.27,12.47,1.92,64.55128863,Plain,No,Yes,No,Hertzian,Flat,2,Lenticular,Convergent,Feather,Pointed,30-60,No,indeterminate,other,Flake,
