assemblage_code,analyst_id,analysis_order,flake_id,completeness,damage,damage_comment,dorsal_cortex,Dorsal_Cortex_Location,dorsal_cortex_location_other,platform_cortex,dorsal_scar_count,directionality,Proximal_Scars,Left_Scars,Distal_Scars,Right_Scars,Mass,MaximumDimension,MaximumWidth,MaximumThickness,TechLength,TechMaxWidth,TechMaxThickness,TECHWIDTHPROX,TECHWIDTHMES,TECHWIDTHDIST,TECHTHICKPROX,TECHTHICKMES,TECHTHICKDIST,PLATFWIDTH,PLATFTHICKIMPACT,PLATFTHICKMID,PLATFTHICKMAX,EDGEPLATF,EDGEPLATF_DEG,PLATFMORPH,PLATFLIPP,BULB,SHATTBULB,INITIATION,VENTR_PLANE_FORM,ANGLE_HEIGHT,SECTION,LATEDGETYPE,FLAKETERM,DISTPLANFORM,DISTPROFANGLE,KOMBEWA,FLK_TYPE,RED_SYST,FLK_FORM,REMARK
chert_condition_A,a8acd,11,9,complete,yes,LIGHT EDGE DAMAGE,98,All,,absent,1,Indeterminate,1,0,0,0,120.5,100.84,59.52,26.73,90.85,75.56,26.96,56.97,59.45,47.95,26.67,22.52,11.38,32.79,9.76,10.21,12.59,7.57,,Plain,NO,YES,YES,HERTZIAN,BULBAR,,TRI,INDET,FEATHER,IRR,0-30,NO,FIRST FLAKE WITH PREPARED PLATFORM,indet,FLAKE,
chert_condition_B,a8acd,11,87,complete,yes,LIGHT EDGE DAMAGE,,,,absent,2,Unidirectional,2,0,0,0,19,51.14,42.3,11.5,42.61,50.17,18.7,44.05,44.93,24.06,15.29,9.06,4.63,38.85,18.63,18.7,18.7,4.38,,Plain,YES,YES,YES,HERTZIAN,BULBAR,,INDET,CONV,FEATHER,POINTED,0-30,NO,"DISCOID FLAKE , DOS LIMITE - DEBORDANT",DISCOID,FLAKE,
chert_condition_B,a8acd,11,80,lateral,yes,LIGHT EDGE DAMAGE,,,,absent,4,Indeterminate,1,3,0,0,4.6,39.05,15.9,8.76,37.7,,10.06,,,,9.54,8.76,5.12,,4.64,,7.6,2.87,,Plain,NO,NO,,HERTZIAN,CONCAVE,,INDET,INDET,INDET,INDETERMINATE,,NO,FLAKE WITH SIRET BREAKAGE,INDET,FLAKE,
chert_condition_B,a8acd,11,95,complete,no,,,,,absent,3,Bidirectional,2,0,1,0,29.4,58.47,36.49,17.33,48.13,31.32,19.98,28.79,30.77,27.84,18.45,17.24,10.93,20.95,15.67,9.68,18.49,2.73,,Plain,NO,YES,NO,HERTZIAN,BULBAR,,TRI,SUB-PARALLEL,HINGE,POINTED,,NO,CORE MANAGEMENT; DEBORDANT FLAKE,LEVALLOIS,,
chert_condition_A,a8acd,11,74,proximal,yes,HEAVY EDGE DAMAGE,,,,absent,6,UnidirectionalConvergent,3,1,0,2,19.2,60.42,42.49,6.97,,,,,,,,,,43.47,6.16,6.96,9.14,2.53,,Chapeau de Gendarme,NO,YES,YES,HERTZIAN,CONCAVE,,TRAP,CONV,INDET,,,NO,LEVALLOIS TRIANGULAR FLAKE WITH UNIDIRECTIONAL CONVERGENT PREPARATION- LEVALLOIS POINT,LEVALLOIS,FLAKE,
chert_condition_B,a8acd,11,94,complete,yes,LIGHT EDGE DAMAGE,,,,absent,3,Unidirectional,3,0,0,0,1.7,24.65,18.93,3.41,21.36,17.98,4.33,15.99,17.43,15.38,4.17,3.38,3.02,13.65,3.12,3.19,5.87,1.71,,Chapeau de Gendarme,YES,YES,YES,HERTZIAN,CONCAVE,,TRI,SUB-PARALLEL,HINGE,ROUNDED,,NO,UNIDIRECTIONAL ,INDET,FLAKE,VERY LIKELY FROM THE LEVALLOIS REDUCTION SYSTEM
chert_condition_B,a8acd,11,93,complete,no,,,,,absent,3,Unidirectional,2,1,0,0,2,27.14,21.06,3.7,23.54,20.4,3.2,16.7,19.13,16.03,3.95,3.03,2.71,14.63,3.02,4.04,5.05,0.97,,Plain,NO,YES,NO,HERTZIAN,TWISTED,,LENTIC,DIV,HINGE,IRR,,NO,UNIDIRECTIONAL FLAKE,INDET,FLAKE,VERY LIKELY FROM THE LEVALLOIS REDUCTION SYSTEM
chert_condition_B,8240a,8,95,left,no,,0,,,Absent,5,Centripetal,1,1,1,2,30,58.49,38.97,18.73,48.01,NA,16.55,,,,18.25,17.56,10.74,,15,,16.77,92,,Plain,No,Yes,No,Hertzian,BULBAR,,RIGHTTRIANGLE,na,FEATHER,,52,No,Levallois flake,Levallois non-Nubian,FLAKE,measured in Geneva; some measurements not taken due to split flake
chert_condition_B,r42o8,5,12,complete,no,,75,Right,,Complete,3,Multidirectional,1,0,0,0,270.4,107.39,99.48,31.38,90.1,99.9,29.13,72.02,100.65,70.91,29.66,28.62,14.3,,,,,,0,Cortical,No,Yes,No,Hertzian,Flat,,Lenticular,Ovoid,Feather,Rounded,30-60,No,indeterminate,indeterminate,Flake,
chert_condition_B,a8acd,11,77,complete,no,,,,,absent,4,Unidirectional,4,0,0,0,3.2,34.12,27.89,3.7,23.1,30.3,5.15,28.36,27.29,26.39,4.34,3.75,2.36,30.56,3.75,3.76,5,2.18,,Chapeau de Gendarme,NO,YES,YES,HERTZIAN,BULBAR,,TRAP,PARALLEL,FEATHER,FLAT,0-30,NO,UNIDIRECTIONAL FLAKE,INDET,FLAKE,VERY LIKELY FROM THE LEVALLOIS REDUCTION SYSTEM
