"","assemblage_code","analyst_id","analysis_order","flake_id","completeness","damage","damage_comment","dorsal_cortex","dorsal_cortex_location","dorsal_cortex_location_other","platform_cortex","dorsal_scar_count","directionality","proximal_scars","left_scars","distal_scars","right_scars","mass","maximumdimension","maximumwidth","maximumthickness","techlength","techmaxwidth","techmaxthickness","techwidthprox","techwidthmes","techwidthdist","techthickprox","techthickmes","techthickdist","platfwidth","platfthickimpact","platfthickmid","platfthickmax","edgeplatf","edgeplatf_deg","platfmorph","platflipp","bulb","shattbulb","initiation","ventr_plane_form","angle_height","section","latedgetype","flaketerm","distplanform","distprofangle","kombewa","flk_type","red_syst","flk_form","remark","new_flake_id"
"1","chert_condition_A","a8acd",11,"9","complete","yes","LIGHT EDGE DAMAGE",98,"All",NA,"Absent",1,"Indeterminate",1,0,0,0,120.5,100.84,59.52,26.73,90.85,75.56,26.96,56.97,59.45,47.95,26.67,22.52,11.38,32.79,9.76,10.21,12.59,7.57,NA,"Plain","no","yes","Yes","Hertzian","Bulbar",NA,"Triangular",NA,"Feather","Irregular","0-30","No","FIRST FLAKE WITH PREPARED PLATFORM",NA,"Flake",NA,1
"2","chert_condition_A","a8acd",11,"74","proximal","yes","HEAVY EDGE DAMAGE",NA,NA,NA,"Absent",6,"UnidirectionalConvergent",3,1,0,2,19.2,60.42,42.49,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.47,6.16,6.96,9.14,2.53,NA,"ChapeauDeGendarme","no","yes","Yes","Hertzian","Concave",NA,"Trapezoidal","Convergent",NA,NA,NA,"No","LEVALLOIS TRIANGULAR FLAKE WITH UNIDIRECTIONAL CONVERGENT PREPARATION- LEVALLOIS POINT","Levallois","Flake",NA,2
"3","chert_condition_A","9d812",1,"10","complete","no",NA,100,"all",NA,"Complete",0,"Other",0,0,0,0,276.7,109.29,78.18,44.35,102.77,80.53,44.02,54.95,76.59,59,27.88,42.34,28.99,22.23,8.85,8.85,8.85,5.19,119.2814206,"Cortical","no","yes","Yes","Hertzian","Bulbar",42,"Triangular","Divergent","Feather","Pointed","31-60","No",NA,NA,"Flake",NA,3
"4","chert_condition_A","8240a",8,"10","complete","no",NA,95,"All",NA,"Complete",0,NA,0,0,0,0,NA,108.9700012,78.73000336,42.79999924,104.0599976,77.80999756,42.41999817,55.47000122,73.51999664,51.14,25.29999924,42.34000015,24.95999908,22.86000061,10.35999966,9.88,10.61999989,NA,NA,"Cortical","no","yes","Yes","Hertzian","Flat",42,"Triangular","Divergent","Feather","Irregular","0","No",NA,NA,"Flake",NA,3
"5","chert_condition_A","9d812",1,"9","complete","no",NA,95,"other","in all portions but not total coverage","Absent",0,"Other",0,0,0,0,120.73,102.79,59.21,26.47,85.54,66.28,26.81,54.84,64.24,58.17,28.25,22.19,9.7,31.06,9.46,13.57,13.57,11.46,150.2865841,"Plain","no","yes","No","Hertzian","Bulbar",27,"Righttriangle","Divergent","Feather","Pointed","0-30","No",NA,NA,"Flake",NA,1
"6","chert_condition_A","9d812",1,"7","complete","no",NA,50,"other","everywhere but proxright and right","Absent",3,"Unidirectional",3,0,0,0,118.42,82.33,60.82,28.61,81.37,60.62,29.43,57.27,60.83,50.87,27.79,22.01,12.01,40.27,25.37,16.43,25.37,3.36,95.72481045,"Plain","no","yes","No","Hertzian","Bulbar",26,"Triangular","Ovoid","Feather","Rounded","31-60","No",NA,NA,"Flake",NA,4
"7","chert_condition_A","8240a",8,"7","complete","no",NA,50,"Left",NA,"Absent",3,"Indeterminate",1,0,1,1,118.3000031,83.77999878,61.27999878,28.43000031,75.62999725,61.36999893,29.23999977,48.68999863,60.29000092,46.6,27.54000092,24.44000053,14.52000046,40.22000122,23.97999954,20.12,24.87000084,NA,NA,"Plain","yes","yes","No","Hertzian","Concave",25.89999962,"Triangular","Parallel","Feather","Irregular","0","No",NA,NA,"Flake",NA,4
"8","chert_condition_A","9d812",1,"8","complete","no",NA,80,"other","everywhere but proxleft and left",NA,1,"Unidirectional",1,0,0,0,31.83,60.16,46.36,18.44,52.72,50.24,18.77,34.97,44.81,50.31,18.16,13.04,7.46,NA,NA,NA,NA,4.02,105.8054787,"Other","no","yes","Yes","Hertzian","Concave",19,"Triangular","Divergent","Feather","Pointed","0-30","No",NA,NA,"Flake","PLATFORM SHATTERED, CREATING MULTIPLE REMOVALS SIMULTANEOUSLY; SOME MEASUREMENTS IMPOSSIBLE. COULD BE CONSIDERED PROXIMAL FLAKE, SOME OF CORTEX AT DISTAL END CRUMBLED OFF.",5
"9","chert_condition_A","8240a",8,"51","complete","no",NA,0,NA,NA,"Absent",8,"UnidirectionalConvergent",3,3,1,1,90.30000305,90.06999969,57.50999832,19.61000061,84.05000305,69.06999969,19.09000015,51.54000092,43.54000092,40.58,16.79999924,17.25,12.13000011,57.59000015,8.859999657,9.93,15.65999985,3.450000048,NA,"Plain","no","yes","No","Hertzian","Flat",18.39999962,"Trapezoidal","Convergent","Feather","Pointed","0","No","Levallois","Levallois","Convflake",NA,6
"10","chert_condition_A","8240a",8,"87","complete","no",NA,0,NA,NA,"Absent",3,"Indeterminate",1,1,0,1,27,60.74000168,38.34000015,18.09000015,54.13000107,37.83000183,18.68000031,23.69000053,37.29999924,26.09,16.90999985,15.93000031,11.02999973,NA,13.39000034,NA,8.289999962,NA,NA,"Plain","no","yes","No","Hertzian","Flat",18.29999924,"Righttriangle","Amorphous","Feather","Flat","0","No","debordant",NA,"Flake",NA,7
