,,,,,,,,,,
original flake id,new flake id,assemblage_code,variable,cv,mean,sd,min,max,median,range
74,2,chert_condition_A,mass,0,19.17,0.05,19.1,19.2,19.2,0.1
74,2,chert_condition_A,maximumdimension,0.04,60.36,2.31,53.42,61.32,61.1,7.9
74,2,chert_condition_A,maximumwidth,0.02,42.02,0.65,41.09,43.21,41.94,2.12
74,2,chert_condition_A,maximumthickness,0.18,9.56,1.75,6.97,12.54,9.37,5.57
74,2,chert_condition_A,platfwidth,0.23,40.05,9.18,13.9,48.72,42.77,34.82
74,2,chert_condition_A,platfthickimpact,0.11,6.36,0.72,4.9,7.6,6.21,2.7
74,2,chert_condition_A,platfthickmid,0.27,5.18,1.41,2.73,7.09,5.17,4.36
74,2,chert_condition_A,platfthickmax,0.3,9.45,2.87,5.3,16.14,8.68,10.84
10,3,chert_condition_A,dorsal_cortex,0.18,93.18,16.32,45,100,100,55
10,3,chert_condition_A,mass,0,276.88,0.27,276.3,277.3,276.9,1
10,3,chert_condition_A,maximumdimension,0.01,109.59,1.35,106.21,110.63,110.03,4.42
10,3,chert_condition_A,maximumwidth,0.01,78.47,0.51,77.3,79.39,78.48,2.09
10,3,chert_condition_A,maximumthickness,0.03,43.17,1.32,41.66,46.57,42.77,4.91
10,3,chert_condition_A,techlength,0.03,102.36,2.73,98.52,105.74,103.2,7.22
10,3,chert_condition_A,techmaxwidth,0.05,81.1,4.07,77.81,92.23,80.53,14.42
10,3,chert_condition_A,techmaxthickness,0.02,42.82,0.98,41.06,44.88,42.55,3.82
10,3,chert_condition_A,techwidthprox,0.1,54.76,5.59,44.6,64.87,55.47,20.27
10,3,chert_condition_A,techwidthmes,0.06,75.53,4.78,64.1,80.38,76.59,16.28
10,3,chert_condition_A,techwidthdist,0.07,57.84,4.27,50.32,64.1,59,13.78
10,3,chert_condition_A,techthickprox,0.13,24.25,3.17,20.48,31.18,23.4,10.7
10,3,chert_condition_A,techthickmes,0.07,41.79,2.95,36.55,47.23,42.34,10.68
10,3,chert_condition_A,techthickdist,0.12,27.64,3.26,23.28,33.65,28.19,10.37
10,3,chert_condition_A,platfwidth,0.16,21.61,3.38,14.48,26.97,21.78,12.49
10,3,chert_condition_A,platfthickimpact,0.12,9.34,1.12,7.23,10.82,9.33,3.59
10,3,chert_condition_A,platfthickmid,0.11,9.11,1.02,7.3,10.46,9.24,3.16
10,3,chert_condition_A,platfthickmax,0.15,10.2,1.5,8,13.4,10.48,5.4
7,4,chert_condition_A,dorsal_cortex,0.1,55,5.48,50,65,55,15
7,4,chert_condition_A,mass,0,118.38,0.35,117.4,118.7,118.5,1.3
7,4,chert_condition_A,maximumdimension,0.02,82.27,1.85,79,84.49,82.68,5.49
7,4,chert_condition_A,maximumwidth,0.01,60.88,0.45,60.3,61.84,60.82,1.54
7,4,chert_condition_A,maximumthickness,0.03,28.22,0.95,26.18,30.12,28.24,3.94
7,4,chert_condition_A,techlength,0.04,76.11,2.85,73.67,81.37,75.15,7.7
7,4,chert_condition_A,techmaxwidth,0.01,60.59,0.51,59.81,61.44,60.59,1.63
7,4,chert_condition_A,techmaxthickness,0.1,27.39,2.72,20.18,29.43,28.13,9.25
7,4,chert_condition_A,techwidthprox,0.05,53.21,2.91,48.69,57.27,53.44,8.58
7,4,chert_condition_A,techwidthmes,0.01,60.17,0.6,58.82,60.88,60.25,2.06
7,4,chert_condition_A,techwidthdist,0.09,49.3,4.51,41.51,58.22,49.69,16.71
7,4,chert_condition_A,techthickprox,0.04,27.64,1.09,25.09,28.93,27.74,3.84
7,4,chert_condition_A,techthickmes,0.09,24.74,2.19,20.41,26.93,24.67,6.52
7,4,chert_condition_A,techthickdist,0.18,13.78,2.45,11.47,18.48,12.69,7.01
7,4,chert_condition_A,platfwidth,0.13,37.02,4.77,29.28,41.94,39.5,12.66
7,4,chert_condition_A,platfthickimpact,0.31,18.16,5.61,11.8,25.37,15.02,13.57
7,4,chert_condition_A,platfthickmid,0.26,15.61,4,9.84,20.94,16.43,11.1
7,4,chert_condition_A,platfthickmax,0.27,19.97,5.4,12.53,25.37,21.75,12.84
8,5,chert_condition_A,dorsal_cortex,0.06,79.09,4.91,70,85,80,15
8,5,chert_condition_A,mass,0,31.78,0.1,31.6,31.9,31.8,0.3
8,5,chert_condition_A,maximumdimension,0.01,60.72,0.77,59.96,62.94,60.62,2.98
8,5,chert_condition_A,maximumwidth,0.05,44.11,2.15,41.64,48.71,43.96,7.07
8,5,chert_condition_A,maximumthickness,0.04,18.18,0.73,16.72,18.88,18.44,2.16
8,5,chert_condition_A,techlength,0.07,56.32,4.01,49.02,60.59,57.08,11.57
8,5,chert_condition_A,techmaxwidth,0.08,47.22,3.62,41.45,50.41,49.02,8.96
8,5,chert_condition_A,techmaxthickness,0.03,18.49,0.54,17.63,19.51,18.46,1.88
8,5,chert_condition_A,techwidthprox,0.18,28.12,5.08,17.86,34.97,29.75,17.11
8,5,chert_condition_A,techwidthmes,0.04,42.96,1.7,39.36,44.81,43.39,5.45
8,5,chert_condition_A,techwidthdist,0.19,42.41,8.22,32.26,50.31,45.58,18.05
8,5,chert_condition_A,techthickprox,0.06,17.51,0.98,16.07,18.7,17.86,2.63
8,5,chert_condition_A,techthickmes,0.13,16.25,2.16,12.69,18.58,17.08,5.89
8,5,chert_condition_A,techthickdist,0.19,9.17,1.74,7.24,12.35,8.89,5.11
51,6,chert_condition_A,mass,0,90.33,0.1,90.1,90.5,90.3,0.4
51,6,chert_condition_A,maximumdimension,0.02,89.25,1.95,83.84,91.21,90,7.37
51,6,chert_condition_A,maximumwidth,0.08,59.03,4.79,50.85,70.59,58.87,19.74
51,6,chert_condition_A,maximumthickness,0.05,18.91,0.91,17.5,20.06,19.19,2.56
51,6,chert_condition_A,techlength,0.02,83.66,1.33,80.47,84.98,83.9,4.51
51,6,chert_condition_A,techmaxwidth,0.12,60.02,7.17,47.29,71.53,60.42,24.24
51,6,chert_condition_A,techmaxthickness,0.05,18.59,1.01,16,19.28,19.09,3.28
51,6,chert_condition_A,techwidthprox,0.07,55.55,4.05,50.1,60.64,54.87,10.54
51,6,chert_condition_A,techwidthmes,0.09,48.36,4.17,43.54,58.03,47.44,14.49
51,6,chert_condition_A,techwidthdist,0.06,40.67,2.37,34.68,44.49,40.92,9.81
51,6,chert_condition_A,techthickprox,0.05,16.79,0.79,16.1,18.48,16.53,2.38
51,6,chert_condition_A,techthickmes,0.02,17.4,0.35,17,18,17.26,1
51,6,chert_condition_A,techthickdist,0.18,10.71,1.88,6.65,13.12,11.2,6.47
51,6,chert_condition_A,platfwidth,0.21,52.58,11.07,30.1,58.6,57.67,28.5
51,6,chert_condition_A,platfthickimpact,0.2,8.73,1.74,5.34,10.82,8.86,5.48
51,6,chert_condition_A,platfthickmid,0.21,9.45,1.98,4.3,10.83,10.28,6.53
51,6,chert_condition_A,platfthickmax,0.2,11.59,2.33,8.69,16.11,10.83,7.42
87,7,chert_condition_A,mass,0.01,26.91,0.34,25.9,27.1,27,1.2
87,7,chert_condition_A,maximumdimension,0.03,60.06,1.6,55.62,60.9,60.74,5.28
87,7,chert_condition_A,maximumwidth,0.05,37.07,1.94,33.37,38.81,37.83,5.44
87,7,chert_condition_A,maximumthickness,0.04,18.53,0.66,18,20.38,18.3,2.38
87,7,chert_condition_A,techlength,0.05,50.52,2.78,45.83,55.45,50.2,9.62
87,7,chert_condition_A,techmaxwidth,0.08,38.45,3.05,33.69,42.85,37.83,9.16
87,7,chert_condition_A,techmaxthickness,0.12,17.47,2.14,11.58,18.82,18.2,7.24
87,7,chert_condition_A,techwidthprox,0.13,24.04,3.1,18.98,28.62,23.39,9.64
87,7,chert_condition_A,techwidthmes,0.07,34.98,2.54,30.91,38.45,35.63,7.54
87,7,chert_condition_A,techwidthdist,0.22,31.53,6.82,23.7,42.29,32,18.59
87,7,chert_condition_A,techthickprox,0.17,16.05,2.73,9.29,18.94,16.5,9.65
87,7,chert_condition_A,techthickmes,0.12,16.57,1.97,12.23,18.31,17.1,6.08
87,7,chert_condition_A,techthickdist,0.26,10.39,2.71,4.4,13.73,11.03,9.33
87,7,chert_condition_A,platfthickimpact,0.55,6.91,3.81,2.04,13.39,5.26,11.35
87,7,chert_condition_A,platfthickmax,0.27,9.26,2.51,6.85,14.31,8.29,7.46
60,8,chert_condition_A,mass,0,64.24,0.12,64,64.4,64.3,0.4
60,8,chert_condition_A,maximumdimension,0,85.03,0.41,84.08,85.52,85.13,1.44
60,8,chert_condition_A,maximumwidth,0.1,57.3,5.68,47.9,67.23,55.32,19.33
60,8,chert_condition_A,maximumthickness,0.06,15.2,0.85,13.64,16.32,15.55,2.68
60,8,chert_condition_A,techmaxwidth,0.07,53.97,3.56,47.49,61.75,53.39,14.26
60,8,chert_condition_A,techmaxthickness,0.09,15.01,1.3,13.08,16.63,15.53,3.55
60,8,chert_condition_A,techwidthprox,0.03,48.08,1.42,46.13,49.86,48.3,3.73
60,8,chert_condition_A,techwidthmes,0.01,46.85,0.57,45.97,47.47,46.92,1.5
60,8,chert_condition_A,techwidthdist,0.12,49.2,5.73,37.66,53.73,51.99,16.07
60,8,chert_condition_A,techthickprox,0.08,14.79,1.14,12.51,15.68,15.32,3.17
60,8,chert_condition_A,techthickmes,0.09,13.68,1.27,11.62,16,14.02,4.38
60,8,chert_condition_A,techthickdist,0.16,10.75,1.73,8.29,13.46,10.7,5.17
60,8,chert_condition_A,platfthickimpact,0.08,6.15,0.52,5.27,6.94,6.23,1.67
87,7,chert_condition_A,platfwidth,0.13,11.39,1.51,10.13,14.44,10.99,4.31
87,7,chert_condition_A,platfthickmid,0.22,7.87,1.74,6.2,11.36,7.13,5.16
4,9,chert_condition_A,dorsal_cortex,1.22,6.36,7.78,0,20,0,20
4,9,chert_condition_A,mass,0.01,60.29,0.41,59.7,61.1,60.2,1.4
4,9,chert_condition_A,maximumdimension,0.04,80.13,3.14,71.23,83.16,80.8,11.93
4,9,chert_condition_A,maximumwidth,0.04,71.59,2.87,69.2,79.6,70.8,10.4
4,9,chert_condition_A,maximumthickness,0.07,14.1,0.95,11.7,15.48,14.19,3.78
4,9,chert_condition_A,techlength,0.02,70.81,1.68,67.9,73.16,70.58,5.26
4,9,chert_condition_A,techmaxwidth,0.06,68.79,3.97,64.17,78.05,67.7,13.88
4,9,chert_condition_A,techmaxthickness,0.17,13.12,2.21,8.28,15.62,13.97,7.34
4,9,chert_condition_A,techwidthprox,0.12,59.3,6.95,49.93,68.52,60.95,18.59
4,9,chert_condition_A,techwidthmes,0.09,62.7,5.87,50.31,69.33,61.34,19.02
4,9,chert_condition_A,techwidthdist,0.18,49.91,9.23,41.27,67.54,45.63,26.27
4,9,chert_condition_A,techthickprox,0.07,13.87,1.01,12.59,16.55,13.88,3.96
4,9,chert_condition_A,techthickmes,0.1,10.23,0.99,8.71,11.5,10.35,2.79
4,9,chert_condition_A,techthickdist,0.2,5.81,1.18,3.13,7.56,5.91,4.43
4,9,chert_condition_A,platfthickimpact,0.03,12.44,0.38,11.4,12.88,12.54,1.48
4,9,chert_condition_A,platfthickmax,0.04,12.62,0.45,11.6,13.53,12.61,1.93
26,10,chert_condition_A,dorsal_cortex,0.1,80,8.06,65,90,80,25
26,10,chert_condition_A,mass,0,29.39,0.13,29.2,29.7,29.4,0.5
26,10,chert_condition_A,maximumdimension,0.02,53.46,1.21,50.53,54.3,53.88,3.77
